,id,kills,assists,arrow_accuracy,kit,position
530,ImmaBreadCat,1,0,,Knight,4
531,Dartified,1,1,,Knight,6
532,Burbclave,0,0,,None,12
533,Swufs,0,0,,Knight,10
534,Burny_XD,0,0,,Knight,9
535,King2Enderman,0,0,,Pro,11
536,smoie,0,0,,None,8
537,5treak,0,0,,Knight,5
538,NeDeshka,4,0,,Scout,1
539,Sunjey,2,0,,Ecologist,3
540,AruKaa__,1,0,0.0,Armorer,7
541,potion_master90s,1,0,,None,2
542,znal,1,0,,Pharaoh,6
543,jxnethegc,1,0,,Knight,5
544,byrong28,0,0,,Knight,11
545,Potato_Legend,0,0,,Knight,9
546,memesforlifezzz,0,0,0.0,Armorer,10
547,Glichkiller6483,0,0,,Knight,4
548,SenbonSakuraKage,0,0,,None,12
549,shrax,3,0,1.0,Enderman,6
550,Tanfish,3,0,,Knight,1
551,byrong28,2,0,,Knight,7
552,_Cocytus,2,1,,Scout,2
553,piloish,0,0,,End Lord,4
554,Go0dfella,0,0,,Frog,10
555,DepZky,0,0,,Farmer,9
556,MURCIELAG00S,0,1,,Armorer,8
557,C354R,0,0,,Ecologist,12
558,RainsOfficial,0,0,,Armorer,3
559,TheAllRuby,0,0,,Knight,11
560,Jakanader,4,0,0.0,Knight,2
561,69Giraffe69,3,1,0.25,Farmer,1
562,Smellerbee,1,0,,Enderman,10
563,goodbye_oreo,0,0,,Farmer,12
564,dropvape,0,0,,Baseball Player,4
565,KentuckyFriedMC,0,0,,Ecologist,8
566,tismsn,0,1,,Scout,5
567,Tortie_Cat,0,0,,Knight,7
568,bchfish,0,0,0.0,Knight,9
569,SimpJerry,0,0,,Energix,11
570,MASKSMC,0,1,0.41,Armorer,3
571,Cloudz,5,0,,Frog,1
572,Jpster_yt,4,0,1.0,Knight,4
573,vensives,1,1,,Farmer,5
574,Ianops,0,0,0.0,Energix,7
575,byrong28,0,0,,Knight,10
576,Apathytic,0,0,0.5,Armorer,9
577,padwan2,0,0,,Knight,11
578,Catah010,0,0,,Pro,6
579,Tortie_Cat,0,0,,Knight,8
580,NaeNaeGoAway,0,0,,Enderman,12
581,___Mario_____,0,0,,Frog,2
582,thunh,5,0,,Enderman,1
583,Term800,2,0,,Scout,3
584,Malbar_,1,0,0.5,Farmer,8
585,Big_M2405,0,0,0.0,Frog,7
586,Titan16K,0,0,,Knight,6
587,zeozic,0,0,,Cannoneer,5
588,APlayerUnnamed,0,0,,Knight,10
589,AP737,0,0,,Knight,11
590,Brendeen,0,0,,Scout,9
591,Catutu27,0,0,,Knight,4
592,FabriDaHusky,0,0,,Knight,12
593,Th3SamLady,6,0,,Scout,1
594,chroniikk,2,0,,Armorer,3
595,CRWGaming,1,0,1.0,Farmer,4
596,Cacon,1,0,,Scout,9
597,Flying_Axel_71,1,0,,Scout,10
598,TheOmniMan,0,0,0.0,Armorer,5
599,TylerBowen_YT,0,0,,Farmer,2
600,kewuu,0,0,,Frog,7
601,0_0Lemon,0,0,,Ecologist,12
602,NimthGodwit,0,0,,Pharaoh,8
603,DOOOOOOOOOOORITO,0,0,,Farmer,6
604,kubawara,3,0,,Scout,6
605,disipador,3,0,,None,3
606,Tadeomori,1,0,0.11,Scout,4
607,Rofor10,1,1,,Scout,7
608,Treynes,1,0,,Armorer,1
609,Rhemy,0,0,0.0,Scout,5
610,K1mton3,0,0,1.0,Scout,11
611,KL_RWHCz,0,0,,Armorer,10
612,MeDaBomb,0,0,,Enderman,8
613,Ohalr,0,1,,Knight,9
614,cqlr,0,0,,Scout,12
615,Rofor10,3,0,0.4,Scout,1
616,K1mton3,2,0,0.22,Scout,2
617,inmatsu,1,0,,Scout,4
618,TheOttomeme,1,0,0.2,Pharaoh,3
619,wsvz,0,0,,Cannoneer,12
620,INTJames,0,0,,Pharaoh,7
621,WH0ME,0,0,,Armorer,10
622,Yoghurt500,0,0,,Knight,5
623,GambleZZ,0,0,,Knight,6
624,ItzLinxy,0,0,,Armorer,8
625,Chris_Playz28,0,0,0.0,Knight,9
626,oXavier,4,0,,Knight,5
627,Dr_terria,4,1,,Enderman,1
628,Torsv,1,0,,Armorer,6
629,goofyKFC,0,0,,Knight,9
630,PaisleysRusher,0,0,,Knight,4
631,K1mton3,0,1,0.33,Scout,8
632,kubawara,0,0,1.0,Scout,11
633,jhsy2021,0,0,,Knight,10
634,264s,0,0,,Farmer,3
635,neo_01,0,0,,Knight,12
636,summerhopepai,0,0,,Knight,7
637,Mr_Egel,4,1,,Farmer,1
638,k1riak100,2,1,,Scout,2
639,Ganny_fren0911,1,1,,Knight,6
640,elsiemurray2009,1,0,,Knight,10
641,mimilSSB,1,0,,Armorer,4
642,yakimagur,1,0,,Scout,8
643,KL_RWHCz,0,0,,Armorer,12
644,Tr1lls,0,0,,Scout,11
645,J123456,0,0,,Ecologist,7
646,Ecstricity,0,0,,Knight,9
647,klyear_fariy,0,0,0.21,Scout,3
648,Z0NIT,5,0,,Knight,1
649,Vocz,3,1,0.5,Ecologist,3
650,RelaDaily,1,0,,Enderman,5
